,player,Years,expectedyears,one,two,three,four,five,six
92,Ka'imi Fairbairn,3,2.1978,0.2089,0.3763,0.4121,0,0,0
93,Kamren Curl,2,1.5793,0.4117,0.5838,0,0,0,0
94,Keisean Nixon,3,2.2991,0.2077,0.2789,0.5112,0,0,0
95,Kendall Fuller,2,1.5275,0.4705,0.5285,0,0,0,0
96,Kendrick Bourne,3,2.0822,0.1909,0.5315,0.2761,0,0,0
97,Kenneth Murray,2,1.6286,0.3694,0.6296,0,0,0,0
98,Kenny Moore,3,2.1825,0.1841,0.4481,0.3674,0,0,0
99,Kevin Byard,2,1.3855,0.6117,0.3869,0,0,0,0
100,Kevin Dotson,3,1.874,0.3304,0.4649,0.2046,0,0,0
101,Kirk Cousins,4,3.0238,0.0051,0.2312,0.4985,0.2652,0,0
102,Landon Dickerson,4,3.0246,0.0767,0.1867,0.3715,0.365,0,0
103,Leonard Floyd,2,1.549,0.4506,0.5492,0,0,0,0
104,Leonard Williams,3,2.4975,0.1104,0.2817,0.6079,0,0,0
105,Lloyd Cushenberry,4,2.7817,0.1306,0.152,0.5201,0.1967,0,0
106,Mack Wilson,3,2.0082,0.3144,0.3495,0.3316,0,0,0
107,Malcolm Roach,2,1.6817,0.3055,0.6881,0,0,0,0
108,Michael Onwenu,3,2.6156,0.0905,0.2034,0.7061,0,0,0
109,Michael Pittman Jr.,3,2.1632,0.182,0.4728,0.3452,0,0,0
110,Mike Evans,2,1.5793,0.4207,0.5793,0,0,0,0
111,Mike Ford,2,1.7227,0.2573,0.7327,0,0,0,0
112,Miles Killebrew,2,1.6637,0.3149,0.6744,0,0,0,0
113,Mitch Morse,2,1.4829,0.5087,0.4871,0,0,0,0
114,Mitchell Trubisky,2,1.4846,0.4784,0.5031,0,0,0,0
115,Montravius Adams,2,1.7203,0.2561,0.7321,0,0,0,0
116,Nick Allegretti,3,1.908,0.3357,0.4113,0.2499,0,0,0
117,Noah Fant,2,1.7464,0.2532,0.7466,0,0,0,0
118,P.J. Locke,2,1.7703,0.2185,0.7759,0,0,0,0
119,P.J. Mustipher,2,1.4967,0.4281,0.5343,0,0,0,0
120,Patrick Queen,3,1.9749,0.2886,0.4476,0.2637,0,0,0
121,Raekwon Davis,2,1.6402,0.3574,0.6414,0,0,0,0
122,Ray-Ray McCloud,2,1.5785,0.3917,0.5934,0,0,0,0
123,Rigoberto Sanchez,3,1.9807,0.2848,0.4215,0.2843,0,0,0
124,Robert Hunt,5,3.0094,0.0217,0.2654,0.4427,0.2192,0.0504,0
125,Ronald Darby,2,1.6745,0.3159,0.6793,0,0,0,0
126,Saquon Barkley,3,1.8975,0.295,0.5119,0.1929,0,0,0
127,Sean Murphy-Bunting,3,2.0409,0.3267,0.3024,0.3698,0,0,0
128,Shelby Harris,2,1.7257,0.2657,0.73,0,0,0,0
129,Sheldon Rankins,2,1.4835,0.5161,0.4837,0,0,0,0
130,Sione Takitaki,2,1.6765,0.3093,0.6836,0,0,0,0
131,Taron Johnson,3,2.0419,0.3527,0.25,0.3964,0,0,0
132,Taylor Rapp,3,2.064,0.3054,0.3033,0.384,0,0,0
133,Terron Armstead,3,2.7895,0.0713,0.0673,0.8612,0,0,0
134,Thomas Morstead,2,1.7456,0.2304,0.7576,0,0,0,0
135,Tim Settle,2,1.6619,0.3197,0.6711,0,0,0,0
136,Tommy Townsend,2,1.7205,0.2651,0.7277,0,0,0,0
137,Tony Pollard,3,2.058,0.349,0.2392,0.4102,0,0,0
138,Tyler Biadasz,3,2.0921,0.3362,0.2331,0.4299,0,0,0
139,Tyler Lockett,2,1.9762,0.0238,0.9762,0,0,0,0
140,Tyler Ott,3,1.8789,0.3297,0.4239,0.2338,0,0,0
141,Tyquan Lewis,2,1.7425,0.2533,0.7446,0,0,0,0
142,Tyrann Mathieu,2,1.7359,0.2605,0.7377,0,0,0,0
143,Tyrod Taylor,2,1.6389,0.3577,0.6406,0,0,0,0
144,Wil Lutz,2,1.7624,0.2286,0.7669,0,0,0,0
145,Will Dissly,3,1.7541,0.4744,0.2782,0.2411,0,0,0
146,Xavier McKinney,4,2.7179,0.0916,0.2758,0.4549,0.1775,0,0
147,Yetur Gross-Matos,2,1.5526,0.4464,0.5531,0,0,0,0
148,Za'Darius Smith,2,1.65,0.3498,0.6501,0,0,0,0
149,Zack Moss,2,1.6103,0.3767,0.6168,0,0,0,0
150,Zaire Franklin,3,1.9969,0.3158,0.3694,0.3141,0,0,0
151,Zander Horvath,2,1.4585,0.4533,0.5026,0,0,0,0
