Name,Team,pff_id,pff_franchise_id,ID,player_id,team_id,Position,Role,Years,date_signed,year_signed,start_year,Total,APY,Guarantee,GPY,GP,total_guarantees,vested_guarantees,signing_bonus,option_bonus,roster_bonus,pergame_bonus,workout_bonus,incentives,FA,Status,is_featured,is_front,contract_type,ID2
Sheldon Rankins,Bengals,10646,7,46280,4725,7,DT,Defense,2,3/19/24,2024,2024,24500000,12250000,8000000,0,0.00%,8000000,0,0,0,9500000,2000000,50000,1000000,,Active,,,UFA,
George Fant,Seahawks,11282,29,46289,5348,32,LT,Offense,2,3/15/24,2024,2024,9100000,4550000,3700000,0,0.00%,3700000,0,3700000,0,0,680000,0,0,,Active,,,UFA,
Miles Killebrew,Steelers,10745,25,46293,4824,8,S,Defense,2,3/14/24,2024,2024,6500000,3250000,2090000,0,0.00%,2090000,0,2090000,0,0,0,0,0,,Active,,,UFA,
Jordan Whitehead,Buccaneers,49196,30,46297,7002,28,S,Defense,2,3/14/24,2024,2024,9000000,4500000,4500000,0,0.00%,4500000,0,0,0,3750000,0,0,1500000,,Active,,,SFA,
Calvin Ridley,Titans,48262,31,46299,6911,12,WR,Offense,4,3/14/24,2024,2024,92000000,23000000,46980000,0,0.00%,50000000,3020000,20000000,0,2000000,2040000,0,0,,Active,,,UFA,
Jonah Williams,Cardinals,41651,1,46304,7802,29,LT,Offense,2,3/15/24,2024,2024,30000000,15000000,19000000,0,0.00%,21500000,2500000,14000000,0,1500000,1020000,200000,0,,Active,,,UFA,
Dane Jackson,Panthers,32989,5,46306,8979,26,CB,Defense,2,3/14/24,2024,2024,8500000,4250000,5125000,0,0.00%,5125000,0,3000000,0,0,510000,125000,5000000,,Active,,,UFA,
Yetur Gross-Matos,49ers,56444,28,46310,8778,31,EDGE,Defense,2,3/14/24,2024,2024,18000000,9000000,9390000,0,0.00%,12390000,3000000,8265000,0,0,1020000,510000,0,,Active,,,UFA,
Jordyn Brooks,Dolphins,50851,17,46311,8767,3,LB,Defense,3,3/14/24,2024,2024,26250000,8750000,9500000,0,0.00%,17000000,6500000,8375000,0,0,1020000,100000,3750000,,Active,,,UFA,
Mack Wilson,Cardinals,43190,1,46312,7946,29,WR,Offense,3,3/14/24,2024,2024,12750000,4250000,6445000,0,0.00%,6445000,0,3500000,0,0,765000,150000,2250000,,Active,,,UFA,
Rigoberto Sanchez,Colts,12130,14,46317,5989,10,P,Special,3,3/13/24,2024,2024,7500000,2500000,2500000,0,0.00%,2500000,0,0,0,1250000,0,0,450000,,Active,,,UFA,
Chidobe Awuzie,Titans,11815,31,46319,5646,12,CB,Defense,3,3/14/24,2024,2024,36000000,12000000,19000000,0,0.00%,22980000,3980000,7500000,0,0,1530000,0,0,,Active,,,UFA,
Tyler Lockett,Seahawks,9502,29,46321,3917,32,WR,Offense,2,3/14/24,2024,2024,30000000,15000000,12660000,0,0.00%,12660000,0,8000000,0,5300000,2400000,0,4000000,,Active,,,Extension,
Joe Mixon,Texans,11803,13,46325,5634,9,RB,Offense,2,3/15/24,2024,2025,19750000,9875000,13000000,0,0.00%,13000000,0,6000000,0,0,1500000,0,1500000,,Active,,,Extension,
Jeremy Reaves,Commanders,50406,32,46326,7387,20,S,Defense,2,3/14/24,2024,2024,6100000,3050000,2625000,0,0.00%,2625000,0,1500000,0,0,1190000,200000,0,,Active,,,UFA,
Kevin Byard,Bears,10698,6,46328,4777,21,S,Defense,2,3/14/24,2024,2024,15000000,7500000,7390000,0,0.00%,11000000,0,3000000,0,500000,1020000,200000,0,,Active,,,SFA,
Christian Kuntz,Steelers,20035,25,46330,6431,8,LS,Special,3,3/14/24,2024,2024,3765000,1225000,325000,0,0.00%,325000,0,325000,0,0,0,0,0,,Active,,,ERFA,
Kenneth Murray,Titans,58099,31,46332,8763,12,LB,Defense,2,3/14/24,2024,2024,15500000,7750000,7490000,0,0.00%,7490000,0,5000000,0,0,0,0,0,,Active,,,UFA,
Lloyd Cushenberry,Titans,41924,31,46334,8823,12,C,Offense,4,3/15/24,2024,2024,50000000,12500000,26000000,0,0.00%,30000000,4000000,18100000,0,2000000,2040000,0,0,,Active,,,UFA,
Dion Dawkins,Bills,11818,4,46335,5649,1,LT,Offense,3,3/13/24,2024,2025,60060000,20020000,30205000,0,0.00%,34955000,4750000,11000000,6000000,2500000,1360000,2000000,0,,Active,,,Extension,
Terron Armstead,Dolphins,7856,17,46336,2308,3,LT,Defense,3,3/13/24,2024,2024,38630000,12876667,10000000,0,0.00%,10000000,0,7290000,0,1000000,3500000,0,7500000,,Active,,,Extension,
Za'Darius Smith,Browns,9555,8,46337,3970,6,EDGE,Defense,2,3/13/24,2024,2024,23000000,11500000,12000000,0,0.00%,12000000,0,10790000,6990000,2000000,510000,0,2000000,,Active,,,UFA,
Noah Fant,Seahawks,42388,29,46338,7811,32,TE,Offense,2,3/13/24,2024,2024,21000000,10500000,11490000,0,0.00%,11490000,0,9000000,0,1020000,0,0,0,,Active,,,UFA,
C.J. Mosley,Jets,8652,22,46339,2956,4,LB,Defense,2,3/14/24,2024,2024,17250000,8625000,13250000,0,0.00%,13250000,0,7790000,0,0,0,0,0,,Active,,,Extension,
"Michael Pittman, Jr.",Colts,29049,14,46342,8774,10,WR,Offense,3,3/14/24,2024,2024,70000000,23333333,41000000,0,0.00%,46000000,5000000,15000000,0,5000000,0,0,0,,Active,,,UFA,
Wil Lutz,Broncos,11096,10,46347,5244,13,K,Special,2,3/12/24,2024,2024,8400000,4200000,4510000,0,0.00%,4510000,0,3300000,0,0,255000,0,0,,Active,,,UFA,
Adam Trautman,Broncos,109795,10,46348,8845,13,TE,Offense,2,3/13/24,2024,2024,7500000,3750000,5000000,0,0.00%,5000000,0,3000000,0,0,255000,0,750000,,Active,,,UFA,
Drew Sample,Bengals,47259,7,46349,7843,7,TE,Offense,3,3/11/24,2024,2024,10500000,3500000,2350000,0,0.00%,2350000,0,0,0,2350000,750000,150000,0,,Active,,,UFA,
