"","onep","twop","threep","fourp","fivep","sixp","player","Position","Years","Draft Round","Orig Team","Age At Sign","perc_GTD","Total","APY","Effective Length","contract_type","total_PB","one_year","last_PB","second_last_PB"
"38",99.99,96.88,81.93,27.27,0,0,"Christian Kirk","WR",4,"2","0","25",0.513888889,7.2e+07,1.8e+07,0,"UFA",2e+07,5e+06,5e+06,1e+07
"39",99.99,55.4,0,0,0,0,"Christian Kirksey","LB",2,"3","1","30",0.4,1e+07,5e+06,0,"Extension",2e+06,1e+06,1075000,2150000
"40",99.99,71.96,52.05,0,0,0,"Chukwuma Okorafor","RT",3,"3","1","25",0.316239316,29250000,9750000,0,"Extension",9250000,3083333.333,3e+06,6e+06
"41",99.99,65.57,0,0,0,0,"Colt McCoy","QB",2,"3","1","36",0.8,7500000,3250000,0,"Extension",2500000,1250000,1250000,2500000
"42",99.99,62.83,0,0,0,0,"Connor Williams","LG",2,"2","0","25",0.608122551,14035000,7017500,0,"UFA",2750000,1375000,1375000,2750000
"43",99.99,81.91,50.08,0,0,0,"Cooper Kupp","WR",3,"3","1","29",0.936329588,80100000,26700000,0,"Extension",17738690,5912896.667,4e+06,10300000
"44",99.99,63.89,0,0,0,0,"Cordarrelle Patterson","RB",2,"1","1","31",0.476190476,10500000,5250000,0,"Extension",5e+06,2500000,3750000,5e+06
"45",99.99,60.9,0,0,0,0,"Cornelius Lucas","LT",2,"8","0","31",0.449230769,6500000,3250000,0,"Extension",1800000,9e+05,9e+05,1800000
"46",99.99,80.43,54.61,0,0,0,"D.J. Jones","DT",3,"6","0","27",0.666666667,3e+07,1e+07,0,"UFA",8965000,2988333.333,3e+06,6e+06
"47",99.99,88.95,71.88,0,0,0,"D.J. Reed","CB",3,"5","0","25",0.636363636,3.3e+07,1.1e+07,0,"UFA",9465000,3155000,3155000,6310000
"48",99.99,54.57,0,0,0,0,"Damien Wilson","LB",2,"4","0","29",0.473913043,6900000,3450000,0,"UFA",2150000,1075000,1075000,2150000
"49",99.99,61.2,0,0,0,0,"DaQuan Jones","DT",2,"4","0","30",0.758928571,1.4e+07,7e+06,0,"UFA",5500000,2750000,1833333,3666666
"50",99.99,71.77,50.68,0,0,0,"Darious Williams","CB",3,"8","0","29",0.6,3e+07,1e+07,0,"UFA",1500000,5e+05,5e+05,1e+06
"51",99.99,99.79,86.07,36.28,19.52,0,"Davante Adams","WR",5,"2","0","29",0.469357143,1.4e+08,2.8e+07,0,"Extension",19250000,3850000,3850000,7700000
"52",99.99,97.17,84.01,50.66,0,0,"David Njoku","TE",4,"1","1","26",0.511415525,54750000,13687500,0,"Extension",0,0,9386000,13279000
"53",99.99,89.36,79.08,50.51,12.96,0,"De'Vondre Campbell","LB",5,"4","1","29",0.3,5e+07,1e+07,0,"Extension",1.5e+07,3e+06,3e+06,6e+06
"54",99.99,94.18,74.37,0,0,0,"Demarcus Lawrence","EDGE",3,"2","1","30",0.75,4e+07,13333333,0,"Extension",3.1e+07,10333333.33,9e+06,2e+07
"55",99.99,99.38,86.05,52.45,21.18,0,"Denzel Ward","CB",5,"1","1","25",0.708955224,100500000,20100000,0,"Extension",38400000,7680000,3680000,11360000
"56",99.99,80.41,0,0,0,0,"Derek Barnett","EDGE",2,"1","1","26",0.642857143,1.4e+07,7e+06,0,"Extension",9885000,4942500,9192000,9885000
"57",99.99,68.69,49.74,0,0,0,"Derek Carr","QB",3,"2","1","31",0.53779168,121422481,40474160,0,"Extension",7500000,2500000,1875000,3750000
"58",99.99,99.99,99.99,99.99,99.71,0,"Deshaun Watson","QB",5,"1","0","27",1,2.3e+08,4.6e+07,0,"Extension",44965000,8993000,4.6e+07,9.2e+07
"59",99.99,53.13,0,0,0,0,"Desmond King","CB",2,"5","1","27",0.5,7e+06,7e+06,0,"Extension",1e+06,5e+05,5e+05,1e+06
